id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
247690,False,1,57,40,79,8,184
279598,False,4,53,44,67,2,166
914916,False,2,62,45,55,6,168
373600,False,1,48,68,72,7,195
972177,False,3,40,65,55,0,160
719709,False,2,72,65,80,5,222
980527,False,3,57,59,55,2,173
403041,False,3,55,67,80,8,210
73859,False,1,78,68,43,7,196
408360,False,2,57,68,67,0,192
127562,False,2,74,60,61,0,195
642919,False,2,43,61,74,9,187
448,False,2,70,78,70,10,228
631222,False,1,41,68,57,7,173
163207,False,1,44,51,62,7,164
419166,False,2,50,47,66,8,171
780237,False,3,64,62,70,5,201
641131,False,3,58,61,76,9,204
745712,False,2,80,69,41,7,197
891533,False,2,44,44,55,6,149
204810,False,2,71,68,44,10,193
572697,False,2,56,44,51,10,161
496301,False,2,78,50,59,3,190
699819,False,1,59,62,57,6,184
114141,False,2,58,66,43,7,174
110913,False,2,63,45,61,2,171
104206,False,1,80,62,63,7,212
835184,False,1,52,44,62,8,166
773965,True,1,70,63,42,6,181
646175,False,1,67,79,72,8,226
630932,False,2,57,65,76,7,205
312679,False,1,72,77,64,9,222
76662,False,1,48,62,67,4,181
195512,False,2,40,62,74,0,176
731275,False,2,50,70,65,1,186
321271,False,1,78,50,76,10,214
786866,False,1,46,72,77,1,196
420202,False,2,42,62,51,6,161
636902,False,1,58,47,60,7,172
56517,False,1,65,68,77,5,215
440970,False,1,72,47,60,8,187
724364,False,1,62,62,43,7,174
971582,True,2,51,52,52,0,155
280389,False,1,64,67,65,4,200
604055,False,2,75,64,61,3,203
162118,False,2,64,70,73,10,217
983284,True,2,79,53,56,7,195
542733,False,1,52,50,80,3,185
804058,False,2,45,57,74,2,178
305923,True,1,58,55,58,4,175
746103,False,2,52,52,45,3,152
453979,False,1,57,46,75,6,184
548814,False,2,62,60,70,2,194
286558,False,1,60,45,51,8,164
697981,False,1,40,69,42,6,157
101380,False,2,70,72,56,6,204
265535,False,2,74,79,58,2,213
530883,True,1,60,57,61,10,188
365561,False,2,43,66,43,7,159
43488,False,2,74,69,70,10,223
297834,True,2,58,53,49,2,162
376960,False,1,67,45,42,3,157
521008,False,2,69,41,52,8,170
556577,False,1,70,54,72,6,202
93857,False,1,68,44,78,1,191
540468,False,2,76,73,59,6,214
212200,False,2,57,67,61,0,185
118401,False,2,69,62,45,8,184
564966,False,2,54,42,72,4,172
989029,False,2,44,50,60,5,159
