id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
430734,True,2,76,75,61,2,214
941416,True,4,74,77,61,9,221
337992,True,4,75,67,70,5,217
766216,False,3,81,65,67,1,214
629756,False,3,82,75,71,9,237
866112,False,2,78,63,84,4,229
140801,True,4,69,77,59,4,209
41296,True,1,81,74,64,9,228
799069,True,3,67,64,76,7,214
940966,True,2,78,75,54,8,215
442163,True,2,64,79,77,10,230
123610,True,3,72,79,54,4,209
170436,True,1,78,77,69,4,228
458304,False,1,71,69,85,5,230
185707,True,2,70,66,78,10,224
353109,False,1,70,81,78,0,229
256584,True,3,75,82,64,4,225
532437,True,3,71,76,79,4,230
18328,True,2,75,82,50,8,215
525320,True,3,68,68,91,8,235
165897,False,1,79,81,64,9,233
348520,True,2,80,68,61,10,219
925888,True,3,74,74,69,4,221
516504,True,4,69,68,94,8,239
920632,False,4,71,81,48,7,207
122353,True,1,68,74,96,8,246
651240,True,2,72,71,63,9,215
950538,False,1,65,68,72,7,212
661089,True,1,75,73,76,9,233
420699,True,2,78,77,59,2,216
671871,False,4,80,77,68,10,235
701096,True,4,75,79,61,4,219
685637,True,4,81,74,51,3,209
675771,False,4,83,67,82,5,237
644608,True,3,68,66,100,5,239
556535,False,2,80,76,54,6,216
689349,True,3,71,82,57,4,214
831108,False,2,79,69,87,10,245
181,False,3,64,71,94,10,239
699546,True,2,81,69,71,9,230
897906,True,3,65,68,68,2,203
425596,True,3,79,81,72,4,236
850531,True,4,65,81,85,3,234
129908,False,3,77,77,74,3,231
19369,True,3,74,68,96,0,238
368437,True,2,70,80,75,4,229
968985,True,4,70,66,90,5,231
645810,True,3,72,80,71,6,229
784679,True,2,65,79,61,4,209
950627,True,2,80,67,62,9,218
529937,False,1,67,67,92,9,235
172475,True,3,64,73,96,1,234
300770,True,1,73,65,94,1,233
923598,True,2,74,66,70,5,215
958472,True,2,81,65,64,3,213
137140,False,1,63,77,91,3,234
72088,True,3,72,71,68,3,214
264722,False,1,73,79,59,9,220
876378,False,1,82,70,59,8,219
806569,False,2,72,73,80,1,226
474304,True,2,80,63,73,1,217
606656,True,1,67,69,85,7,228
780343,False,2,65,63,86,5,219
174332,True,3,72,63,86,10,231
797000,True,1,64,76,91,5,236
123105,True,1,72,68,62,2,204
953220,True,2,64,78,91,5,238
296227,True,3,70,79,70,5,224
962308,True,2,66,64,100,8,238
841371,True,2,74,75,79,8,236
773896,False,1,67,73,74,9,223
556714,True,1,83,77,43,8,211
377803,True,3,81,76,53,9,219
352470,True,2,83,76,41,4,204
268748,True,3,70,73,83,9,235
575929,False,1,71,82,66,7,226
563643,True,2,67,67,100,0,234
577631,True,2,67,69,87,9,232
109504,False,1,76,74,49,4,203
882209,True,1,69,73,89,3,234
143303,True,2,69,75,66,3,213
811691,True,1,63,83,78,8,232
12293,False,1,79,82,70,6,237
899572,True,3,69,83,65,0,217
909442,True,1,68,75,75,7,225
801727,True,2,66,74,72,9,221
656395,True,3,80,73,54,4,211
923458,True,1,81,83,38,10,212
879963,True,1,77,83,70,9,239
975401,True,2,66,82,78,1,227
489456,True,1,71,65,88,8,232
741108,True,2,66,83,56,5,210
359051,True,2,77,68,86,4,235
858711,True,2,83,68,54,6,211
285559,False,1,68,71,94,7,240
213786,True,1,63,82,64,8,217
121105,True,1,80,67,74,3,224
15096,True,1,79,67,64,1,211
529765,True,3,73,82,73,4,232
921165,True,3,67,65,85,5,222
195148,False,1,78,77,73,5,233
486143,True,2,74,78,73,6,231
74838,True,3,79,73,55,7,214
439393,False,2,80,65,75,5,225
355824,True,3,65,78,78,9,230
162487,False,1,80,76,65,7,228
766912,True,1,63,72,94,5,234
67102,False,3,70,69,68,10,217
673207,True,1,72,67,86,6,231
6537,False,2,75,79,70,4,228
758331,True,2,69,81,61,3,214
946729,False,2,74,71,79,3,227
177475,False,1,66,68,94,7,235
737652,True,1,75,65,69,3,212
727812,True,1,65,66,76,10,217
217293,True,1,71,80,53,2,206
823243,True,1,81,74,61,5,221
443498,True,3,68,77,85,1,231
741303,False,2,74,64,70,10,218
415523,True,3,65,74,74,0,213
614737,False,2,79,80,64,10,233
4316,True,2,81,65,72,1,219
685486,True,1,77,78,55,0,210
911715,False,3,75,64,94,1,234
502474,True,3,65,70,89,1,225
