id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
555880,False,1,89,81,72,7,249
981308,True,1,74,82,97,7,260
473745,False,3,80,91,84,1,256
975272,True,4,80,93,84,4,261
504420,False,1,78,81,88,10,257
62203,True,4,85,93,79,8,265
514423,True,2,92,83,86,8,269
16092,True,1,83,94,71,2,250
241549,False,3,93,88,79,9,269
656896,True,3,74,78,93,1,246
810967,True,3,87,77,81,6,251
297714,False,2,76,81,86,2,245
870520,True,4,80,85,94,0,259
926886,True,4,88,84,72,6,250
333827,False,2,77,90,80,4,251
76931,False,1,86,75,72,0,233
558373,False,1,94,83,71,0,248
283369,True,2,85,78,86,3,252
652511,True,3,76,84,98,2,260
440444,False,1,82,77,99,0,258
609001,True,2,83,88,93,4,268
196674,False,4,92,91,78,1,262
710141,True,2,84,91,83,8,266
800125,True,4,84,92,67,7,250
915201,True,2,85,78,81,2,246
107310,False,3,87,94,67,2,250
662447,True,3,86,90,87,5,268
611202,True,2,88,87,85,6,266
872528,False,2,80,84,87,0,251
123591,True,3,92,80,74,6,252
306240,True,3,87,84,73,5,249
905682,True,2,77,75,100,0,252
90296,True,1,75,77,100,2,254
727619,True,4,85,90,72,1,248
904927,True,1,80,86,92,4,262
23281,True,4,90,74,91,8,263
772787,True,4,80,85,86,9,260
400937,True,2,76,76,100,2,254
16619,False,3,74,75,90,0,239
409882,True,2,85,82,100,10,277
147617,True,4,78,90,78,4,250
738465,False,1,82,88,97,6,273
718182,False,2,76,92,80,8,256
314161,False,4,82,86,80,9,257
900354,True,2,87,86,76,10,259
854393,False,2,92,88,78,8,266
252594,True,1,86,82,67,3,238
956583,True,2,90,91,86,2,269
707161,True,2,90,82,92,7,271
450067,False,2,86,76,92,0,254
117353,True,2,87,83,68,0,238
16625,False,1,91,77,82,3,253
41158,True,2,75,80,92,1,248
642083,True,1,91,76,72,4,243
672698,False,3,81,78,100,3,262
322279,True,2,93,84,84,10,271
860507,True,4,88,75,93,9,265
362021,True,3,91,90,55,10,246
250145,False,4,87,78,99,5,269
839322,False,2,93,79,90,3,265
790565,False,3,88,83,93,0,264
194735,True,2,81,77,87,9,254
932402,False,1,76,75,100,9,260
293183,True,1,74,75,97,6,252
516154,True,1,85,85,82,6,258
