id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
247690,False,3,73,60,43,3,179
279598,False,3,49,45,45,5,144
914916,False,1,62,53,71,5,191
128120,False,3,54,71,78,7,210
97774,False,2,48,56,60,8,172
58897,False,2,63,62,79,7,211
779059,False,3,59,63,69,7,198
466676,False,3,71,70,53,9,203
73859,False,3,53,68,42,7,170
408360,False,1,55,58,75,6,194
127562,False,1,77,78,66,6,227
642919,False,1,42,72,78,2,194
448,False,3,58,65,46,5,174
631222,False,2,66,62,72,0,200
163207,False,3,44,70,72,0,186
419166,False,1,49,55,72,10,186
780237,False,2,79,54,58,8,199
641131,False,2,45,73,77,4,199
388432,False,2,77,69,59,2,207
117831,False,2,54,75,70,4,203
260033,False,2,42,51,59,4,156
378821,True,1,73,61,47,9,190
777768,False,1,64,49,66,8,187
134326,True,2,64,45,57,9,175
47211,False,1,45,69,56,1,171
60894,False,1,61,50,70,10,191
648850,False,2,61,40,59,1,161
992142,False,1,52,63,68,2,185
824007,True,1,62,75,42,2,181
537082,False,2,66,69,50,1,186
100080,False,2,74,67,68,6,215
121407,False,1,47,70,58,6,181
611802,True,1,58,66,68,7,199
74590,False,2,78,80,56,5,219
911819,True,1,76,43,46,6,171
863753,False,1,46,61,64,10,181
139117,False,2,70,65,41,6,182
940262,False,2,77,65,47,10,199
628525,False,2,48,66,46,4,164
395901,False,1,67,55,45,5,172
301480,False,2,59,71,64,4,198
401846,False,1,48,42,57,9,156
433696,False,2,70,42,56,8,176
331619,False,2,77,42,79,1,199
730160,False,2,72,77,57,8,214
774001,False,2,59,60,40,3,162
793493,False,2,60,67,57,3,187
143699,False,2,68,61,67,8,204
503606,False,2,54,51,66,6,177
87685,False,2,65,77,42,1,185
