id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
430734,True,3,66,63,80,1,210
941416,True,3,71,69,95,0,235
337992,True,2,77,66,65,1,209
766216,False,1,66,69,81,6,222
629756,False,2,65,67,94,1,227
866112,False,3,66,76,80,0,222
140801,True,2,69,64,74,4,211
41296,True,4,75,77,59,0,211
799069,True,4,83,79,60,3,225
940966,True,4,68,82,54,6,210
442163,True,3,65,70,76,3,214
123610,True,2,75,83,59,1,218
170436,True,3,72,73,66,2,213
458304,False,4,79,82,47,8,216
185707,True,4,72,72,67,3,214
353109,False,2,70,77,89,10,246
256584,True,1,68,72,91,7,238
532437,True,1,63,72,80,4,219
18328,True,1,78,83,53,1,215
525320,True,1,63,74,74,2,213
165897,False,4,75,65,82,7,229
348520,True,3,83,70,48,10,211
925888,True,1,74,65,76,5,220
516504,True,1,71,83,68,1,223
920632,False,2,79,74,85,4,242
122353,True,4,76,72,70,10,228
651240,True,3,78,78,61,8,225
950538,False,2,70,72,87,3,232
661089,True,2,72,78,63,1,214
420699,True,4,69,78,61,3,211
671871,False,3,67,82,70,7,226
701096,True,2,74,73,59,0,206
685637,True,2,66,69,77,8,220
675771,False,3,83,81,36,9,209
644608,True,2,63,65,78,8,214
556535,False,1,78,67,91,2,238
689349,True,1,68,74,93,6,241
831108,False,4,71,70,95,2,238
181,False,2,70,81,76,2,229
699546,True,3,77,64,94,8,243
897906,True,4,78,83,59,2,222
425596,True,4,69,72,89,10,240
850531,True,3,63,70,76,4,213
129908,False,4,78,63,94,6,241
19369,True,1,72,66,69,0,207
368437,True,4,79,70,58,10,217
968985,True,1,71,72,88,7,238
645810,True,4,70,63,100,10,243
784679,True,3,68,63,79,9,219
950627,True,3,75,64,86,2,227
382526,False,1,67,74,91,6,238
164783,False,1,83,64,84,0,231
64820,True,3,69,67,83,6,225
857527,False,3,68,82,64,8,222
19183,False,2,83,78,62,0,223
690773,True,3,71,65,67,9,212
586836,True,3,64,65,77,5,211
75528,True,3,79,81,50,3,213
808585,False,2,77,70,71,5,223
407244,True,1,75,73,67,1,216
886596,False,2,74,80,53,8,215
885529,True,2,65,82,68,1,216
374058,False,2,70,73,70,9,222
547937,True,3,68,63,85,8,224
264171,False,3,78,72,81,4,235
676341,False,1,79,70,54,5,208
119693,True,2,72,73,82,1,228
904326,True,2,80,67,55,5,207
835603,False,3,77,71,74,8,230
575497,True,1,78,76,55,3,212
890476,True,2,76,76,69,10,231
267471,False,1,78,82,66,8,234
3813,True,1,63,83,75,7,228
100017,True,3,63,81,88,2,234
309681,True,3,73,63,78,8,222
682002,True,3,68,63,76,5,212
55330,True,2,70,64,97,5,236
863449,False,3,71,73,77,4,225
820983,True,3,79,73,47,4,203
262013,True,2,74,68,79,3,224
274459,False,2,70,65,66,5,206
738318,True,1,77,83,60,10,230
572242,True,1,70,81,78,0,229
318684,True,2,76,81,50,8,215
493286,True,2,78,83,48,9,218
597974,True,3,66,65,72,8,211
980622,False,2,63,82,77,7,229
769770,True,3,67,82,70,4,223
340268,True,1,70,73,56,0,199
814826,True,2,75,67,87,4,233
119801,False,2,74,75,78,4,231
689797,True,3,82,67,68,2,219
447985,True,3,80,65,94,2,241
114796,False,3,63,77,90,5,235
543369,False,2,72,65,83,6,226
436098,True,2,78,74,64,0,216
982110,True,3,74,83,78,9,244
264787,True,2,69,64,99,4,236
253843,False,3,74,63,70,1,208
632216,True,3,70,69,67,8,214
683076,True,3,63,83,61,3,210
709685,False,3,67,70,88,8,233
972091,True,1,82,64,71,4,221
895296,False,1,64,71,69,2,206
188984,True,2,64,69,86,0,219
819562,True,2,79,75,64,8,226
655932,True,1,77,68,76,7,228
620354,True,1,71,81,80,8,240
781670,True,2,68,81,60,6,215
395354,False,3,71,79,76,2,228
94499,True,3,74,79,76,10,239
450990,True,1,81,69,67,1,218
856739,True,2,83,75,52,1,211
178882,True,1,75,71,79,9,234
619672,True,2,72,68,86,4,230
563630,False,2,72,65,91,1,229
821557,True,1,80,73,72,3,228
950798,True,2,68,64,82,5,219
175305,True,2,83,75,63,1,222
715833,True,3,74,71,83,9,237
614737,False,1,81,80,58,10,229
4316,True,3,66,82,62,2,212
