id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
430734,True,4,66,73,62,3,204
941416,True,1,61,60,87,10,218
337992,True,3,73,70,64,7,214
766216,False,4,68,80,73,0,221
629756,False,1,77,70,65,10,222
866112,False,4,76,80,65,5,226
140801,True,1,78,64,86,7,235
41296,True,2,79,66,60,0,205
799069,True,1,80,60,55,0,195
940966,True,3,65,69,89,9,232
442163,True,1,61,69,64,4,198
123610,True,4,73,70,63,9,215
170436,True,2,68,68,67,4,207
458304,False,3,66,66,78,3,213
185707,True,3,62,64,80,7,213
353109,False,4,70,72,77,9,228
256584,True,4,73,65,63,5,206
532437,True,2,62,73,72,10,217
18328,True,3,61,61,80,4,206
525320,True,4,68,71,73,8,220
165897,False,2,76,72,70,3,221
348520,True,4,76,77,53,10,216
925888,True,4,71,62,98,3,234
516504,True,3,60,63,96,8,227
920632,False,3,80,69,60,1,210
122353,True,2,77,73,52,4,206
651240,True,1,62,76,60,4,202
950538,False,3,75,60,75,2,212
661089,True,4,74,70,75,10,229
420699,True,1,78,66,59,2,205
671871,False,2,64,80,56,10,210
701096,True,3,73,63,88,9,233
685637,True,3,61,62,72,2,197
675771,False,1,78,62,86,7,233
644608,True,1,78,73,64,9,224
556535,False,3,72,72,55,3,202
689349,True,4,60,74,76,3,213
831108,False,3,67,72,75,0,214
181,False,4,74,70,81,7,232
699546,True,4,62,77,77,9,225
897906,True,2,73,72,56,9,210
425596,True,2,72,78,70,1,221
850531,True,1,80,72,61,10,223
129908,False,2,78,60,81,4,223
19369,True,2,73,76,53,9,211
368437,True,1,68,71,75,4,218
968985,True,2,73,79,60,9,221
645810,True,2,79,66,59,6,210
784679,True,1,72,65,68,4,209
950627,True,4,65,79,79,7,230
382526,False,3,60,77,70,1,208
164783,False,2,68,76,60,10,214
64820,True,1,70,80,46,9,205
857527,False,1,72,70,61,8,211
19183,False,1,76,78,60,0,214
690773,True,1,69,69,62,5,205
586836,True,1,60,60,82,6,208
75528,True,1,72,75,61,5,213
808585,False,3,66,70,68,0,204
407244,True,3,74,73,67,0,214
886596,False,1,77,64,60,9,210
