id,consent,priority,physics_score,russian_score,math_score,achievements_score,total_score
247690,False,2,50,70,72,5,197
279598,False,2,50,47,57,7,161
914916,False,4,50,76,76,7,209
128120,False,2,42,59,65,4,170
97774,False,3,67,79,69,8,223
58897,False,1,80,59,52,10,201
779059,False,1,75,66,54,10,205
466676,False,1,48,79,60,5,192
373600,False,3,76,70,72,6,224
972177,False,1,59,66,67,4,196
719709,False,3,53,43,74,0,170
980527,False,2,56,43,58,1,158
403041,False,2,56,49,77,2,184
631222,False,3,51,65,49,7,172
163207,False,2,71,77,45,4,197
419166,False,3,73,76,67,7,223
780237,False,1,70,52,60,2,184
641131,False,1,69,75,77,3,224
399580,True,2,42,57,51,4,154
567933,False,2,80,52,79,5,216
619460,False,2,56,56,76,8,196
823111,False,2,55,67,61,5,188
809146,False,2,73,68,44,8,193
42104,False,1,41,54,76,10,181
767795,True,1,78,41,62,8,189
292709,False,2,50,41,46,1,138
913119,False,1,69,73,80,5,227
518779,False,2,43,78,48,9,178
136911,False,2,67,74,66,0,207
361587,False,1,68,64,62,5,199
35857,False,1,69,55,77,0,201
531685,False,1,73,46,47,5,171
500687,False,1,75,63,56,0,194
623325,False,2,64,67,69,4,204
512312,False,1,43,43,62,8,156
257397,False,2,72,60,57,10,199
4534,False,2,54,79,54,3,190
530454,False,1,80,70,73,1,224
725648,False,1,52,71,78,8,209
953465,False,2,63,48,51,0,162
388432,False,1,55,43,42,7,147
117831,False,1,61,59,49,2,171
260033,False,1,46,66,68,8,188
378821,True,2,76,52,69,2,199
777768,False,2,76,73,64,7,220
134326,True,1,57,58,43,0,158
47211,False,2,56,69,49,9,183
60894,False,2,57,62,60,1,180
648850,False,1,69,67,55,5,196
992142,False,2,47,79,67,9,202
824007,True,2,52,49,69,10,180
537082,False,1,72,77,64,0,213
100080,False,1,47,45,61,4,157
121407,False,2,42,51,80,6,179
611802,True,2,61,59,47,0,167
74590,False,1,45,52,78,6,181
911819,True,2,70,54,78,6,208
745712,False,1,58,56,64,5,183
891533,False,1,65,59,57,3,184
204810,False,1,73,49,65,0,187
